Benchmark data: Num items = 100, Cap = 1000, Profit = 2671
NumStarts = 100, NumAttempts = 100000
Pass 0 started
Initial state profit = 845
Pass 5 finished in 4 seconds
The correlation with benchmark = 8
===================================
Pass 6 started
Initial state profit = 938
     17	  997
     89	 1104
    237	 1186
    470	 1226
    508	 1300
    525	 1398
    727	 1439
   2519	 1597
   2547	 1682
   2712	 1685
   2834	 1782
   3023	 1785
   3026	 1826
   3393	 1847
   3516	 1858
   3571	 1860
   3585	 1899
   3984	 1904
   4444	 1907
   5183	 1985
   5194	 1990
   5813	 2060
   6209	 2107
   9254	 2181
  10841	 2201
  12818	 2289
  14433	 2299
  23519	 2329
  23916	 2374
  27427	 2398
  27931	 2417
  29319	 2418
  33251	 2444
  34239	 2480
  34527	 2522
  40916	 2524
  67099	 2539
  68897	 2584
 114864	 2585
 120982	 2588
 136116	 2602
 149663	 2603
 288679	 2620
 416930	 2622
 597025	 2632
After 997025 iterations the best profit is = 2632
Pass 6 finished in 5 seconds
The correlation with benchmark = 39
===================================
Pass 7 started
Initial state profit = 1394
     59	 1461
    300	 1517
    375	 1580
   1141	 1619
   1214	 1642
   2752	 1687
   3218	 1689
   3637	 1748
   3857	 1835
   3947	 1878
   3975	 1965
   7194	 1967
   7907	 2065
   9012	 2068
   9524	 2077
   9743	 2107
  13116	 2139
  13836	 2169
  14387	 2170
  14587	 2216
  14740	 2234
  14816	 2253
  14918	 2280
  15003	 2332
  17394	 2336
  19458	 2358
  39570	 2361
  40511	 2391
  41102	 2403
  41187	 2425
  66029	 2427
  66280	 2447
  72966	 2466
  75663	 2476
  85183	 2478
 101860	 2500
 105034	 2532
 108934	 2533
 109277	 2538
 171036	 2565
 209176	 2567
 211488	 2577
 277743	 2596
 286122	 2598
 296604	 2600
 324657	 2602
 324969	 2607
 437761	 2642
 673633	 2643
 696118	 2644
After 1096118 iterations the best profit is = 2644
Pass 7 finished in 6 seconds
The correlation with benchmark = 27
===================================
Pass 8 started
Initial state profit = 767
     56	  831
    124	  977
    165	 1031
    200	 1197
    371	 1219
    397	 1310
    514	 1401
    587	 1451
   1051	 1499
   1673	 1526
   1793	 1587
   1938	 1629
